test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Qwen,guided,P1,40,40,27,36,13,4,0.675,0.9,67.5,90.0,-0.22499999999999998,-22.499999999999996,4.333333333333333,6.050420168067228,1.0,8.5,Pearson chi-square,0.01390298816438431,0.31370684848564306,0.07703600947922083
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2023,Qwen,label,P1,34,46,23,41,11,5,0.6764705882352942,0.8913043478260869,67.64705882352942,89.13043478260869,-0.21483375959079276,-21.483375959079275,3.9217391304347826,5.639386189258312,1.0,6.8,Pearson chi-square,0.01756135424458803,0.3161043764025846,0.060210357410016103
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Llama,evidence,P1,80,80,75,80,5,0,0.9375,1.0,93.75,100.0,-0.0625,-6.25,inf,5.161290322580645,1.0,2.5,Fisher exact,0.058606737972198855,0.35164042783319316,0.09711982419758863
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Llama,guided,P1,80,80,61,70,19,10,0.7625,0.875,76.25,87.5,-0.11250000000000004,-11.250000000000004,2.180327868852459,3.4114240589628855,1.0,14.5,Pearson chi-square,0.06474654946505909,0.35164042783319316,0.09711982419758863
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Llama,label,P1,68,92,62,74,6,18,0.9117647058823529,0.8043478260869565,91.17647058823529,80.43478260869566,0.10741687979539638,10.741687979539638,0.3978494623655914,3.538438393260117,1.0,10.2,Pearson chi-square,0.05996188940341312,0.3597713364204787,0.10279181040585106
between_year_num,year_num,2023,2025,none,all,Qwen,guided,P2,80,80,55,43,25,37,0.6875,0.5375,68.75,53.75,0.15000000000000002,15.000000000000002,0.5282555282555282,3.7919684002633316,1.0,31.0,Pearson chi-square,0.05149905221611312,0.3604933655127918,0.08791010695829829
between_year_num,year_num,2023,2025,none,all,Qwen,evidence,P2,80,80,63,52,17,28,0.7875,0.65,78.75,65.0,0.13749999999999996,13.749999999999996,0.5011337868480725,3.741062801932367,1.0,22.5,Pearson chi-square,0.053090665969269694,0.3604933655127918,0.08791010695829829
between_year_num,year_num,2023,2025,none,all,Qwen,guided,P1,80,80,63,53,17,27,0.7875,0.6625,78.75,66.25,0.125,12.5,0.5296884185773074,3.134796238244514,1.0,22.0,Pearson chi-square,0.07663796276152778,0.3604933655127918,0.1021839503487037
between_year_num,year_num,2023,2025,none,all,Qwen,label,P2,80,80,36,27,44,53,0.45,0.3375,45.0,33.75,0.11249999999999999,11.249999999999998,0.6226415094339622,2.1207658321060383,1.0,31.5,Pearson chi-square,0.14531386643258387,0.3604933655127918,0.15852421792645513
between_year_num,year_num,2023,2025,none,all,Qwen,evidence,P1,80,80,71,65,9,15,0.8875,0.8125,88.75,81.25,0.07499999999999996,7.499999999999996,0.5492957746478874,1.7647058823529411,1.0,12.0,Pearson chi-square,0.1840386271964216,0.3604933655127918,0.1840386271964216
