factor,level_a,level_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,absolute_difference_percentage_points,relative_change_vs_b_pct,prompt,analysis_scope,moderator_factor,parser,year_num,dataset_clean,obfuscation_clean,model
year_num,2023,2025,0.915625,0.83125,91.5625,83.125,0.08437499999999998,8.437499999999998,8.437499999999998,10.15037593984962,evidence,year_num_within_prompt,prompt,,,,,
year_num,2023,2025,0.815625,0.66875,81.5625,66.875,0.1468750000000001,14.687500000000009,14.687500000000009,21.962616822429922,guided,year_num_within_prompt,prompt,,,,,
year_num,2023,2025,0.753125,0.55625,75.3125,55.625,0.19687500000000002,19.687500000000004,19.687500000000004,35.3932584269663,label,year_num_within_prompt,prompt,,,,,
year_num,2023,2025,0.8854166666666666,0.7354166666666667,88.54166666666666,73.54166666666667,0.1499999999999999,14.999999999999991,14.999999999999991,20.396600566572225,,year_num_within_parser,parser,P1,,,,
year_num,2023,2025,0.7708333333333334,0.6354166666666666,77.08333333333334,63.541666666666664,0.13541666666666674,13.541666666666675,13.541666666666675,21.31147540983608,,year_num_within_parser,parser,P2,,,,
year_num,2023,2025,0.8235294117647058,0.8259803921568627,82.35294117647058,82.59803921568627,-0.002450980392156854,-0.2450980392156854,0.2450980392156854,-0.29673590504450936,,year_num_within_dataset_clean,dataset_clean,,,nazario,,
year_num,2023,2025,0.8315217391304348,0.5815217391304348,83.15217391304348,58.152173913043484,0.25,25.0,25.0,42.99065420560748,,year_num_within_dataset_clean,dataset_clean,,,spam_archive,,
year_num,2023,2025,0.76875,0.675,76.875,67.5,0.09375,9.375,9.375,13.888888888888888,,year_num_within_obfuscation_clean,obfuscation_clean,,,,no,
year_num,2023,2025,0.8875,0.6958333333333333,88.75,69.58333333333333,0.19166666666666665,19.166666666666664,19.166666666666664,27.544910179640716,,year_num_within_obfuscation_clean,obfuscation_clean,,,,yes,
dataset_clean,nazario,spam_archive,0.9191176470588235,0.8079710144927537,91.91176470588235,80.79710144927536,0.11114663256606983,11.114663256606983,11.114663256606983,13.756264837773664,,dataset_clean_within_model,model,,,,,Llama
dataset_clean,nazario,spam_archive,0.7303921568627451,0.605072463768116,73.0392156862745,60.507246376811594,0.1253196930946291,12.531969309462909,12.531969309462909,20.711518140190197,,dataset_clean_within_model,model,,,,,Qwen
dataset_clean,nazario,spam_archive,0.9264705882352942,0.8342391304347826,92.64705882352942,83.42391304347827,0.09223145780051156,9.223145780051157,9.223145780051157,11.055757808009204,evidence,dataset_clean_within_prompt,prompt,,,,,
dataset_clean,nazario,spam_archive,0.8419117647058824,0.6684782608695652,84.19117647058823,66.84782608695652,0.17343350383631717,17.343350383631716,17.343350383631716,25.94452415112387,guided,dataset_clean_within_prompt,prompt,,,,,
dataset_clean,nazario,spam_archive,0.7058823529411765,0.6168478260869565,70.58823529411765,61.684782608695656,0.08903452685421998,8.903452685421998,8.903452685421998,14.43379113760042,label,dataset_clean_within_prompt,prompt,,,,,
dataset_clean,nazario,spam_archive,0.8333333333333334,0.7934782608695652,83.33333333333334,79.34782608695652,0.03985507246376818,3.985507246376818,3.985507246376818,5.022831050228319,,dataset_clean_within_parser,parser,P1,,,,
dataset_clean,nazario,spam_archive,0.8161764705882353,0.6195652173913043,81.61764705882352,61.95652173913043,0.19661125319693096,19.661125319693095,19.661125319693095,31.733746130030962,,dataset_clean_within_parser,parser,P2,,,,
dataset_clean,nazario,spam_archive,0.8235294117647058,0.8315217391304348,82.35294117647058,83.15217391304348,-0.007992327365728968,-0.7992327365728968,0.7992327365728968,-0.9611687812379935,,dataset_clean_within_year_num,year_num,,2023.0,,,
dataset_clean,nazario,spam_archive,0.8259803921568627,0.5815217391304348,82.59803921568627,58.152173913043484,0.24445865302642789,24.445865302642787,24.445865302642787,42.037749679310956,,dataset_clean_within_year_num,year_num,,2025.0,,,
dataset_clean,nazario,spam_archive,0.7745098039215687,0.6829710144927537,77.45098039215686,68.29710144927536,0.09153878942881499,9.1538789428815,9.1538789428815,13.403026993290684,,dataset_clean_within_obfuscation_clean,obfuscation_clean,,,,no,
dataset_clean,nazario,spam_archive,0.875,0.730072463768116,87.5,73.0072463768116,0.14492753623188404,14.492753623188403,14.492753623188403,19.85111662531017,,dataset_clean_within_obfuscation_clean,obfuscation_clean,,,,yes,
obfuscation_clean,no,yes,0.8041666666666667,0.90625,80.41666666666667,90.625,-0.1020833333333333,-10.20833333333333,10.20833333333333,-11.264367816091951,,obfuscation_clean_within_model,model,,,,,Llama
obfuscation_clean,no,yes,0.6395833333333333,0.6770833333333334,63.95833333333333,67.70833333333334,-0.03750000000000009,-3.750000000000009,3.750000000000009,-5.538461538461552,,obfuscation_clean_within_model,model,,,,,Qwen
obfuscation_clean,no,yes,0.859375,0.8875,85.9375,88.75,-0.028124999999999956,-2.8124999999999956,2.8124999999999956,-3.1690140845070376,evidence,obfuscation_clean_within_prompt,prompt,,,,,
obfuscation_clean,no,yes,0.7125,0.771875,71.25,77.1875,-0.059374999999999956,-5.937499999999996,5.937499999999996,-7.692307692307687,guided,obfuscation_clean_within_prompt,prompt,,,,,
obfuscation_clean,no,yes,0.59375,0.715625,59.375,71.5625,-0.12187499999999996,-12.187499999999996,12.187499999999996,-17.030567685589517,label,obfuscation_clean_within_prompt,prompt,,,,,
obfuscation_clean,no,yes,0.7416666666666667,0.8791666666666667,74.16666666666667,87.91666666666667,-0.13749999999999996,-13.749999999999996,13.749999999999996,-15.639810426540281,,obfuscation_clean_within_parser,parser,P1,,,,
obfuscation_clean,no,yes,0.7020833333333333,0.7041666666666667,70.20833333333333,70.41666666666667,-0.002083333333333437,-0.2083333333333437,0.2083333333333437,-0.29585798816569514,,obfuscation_clean_within_parser,parser,P2,,,,
obfuscation_clean,no,yes,0.76875,0.8875,76.875,88.75,-0.11874999999999991,-11.874999999999991,11.874999999999991,-13.380281690140835,,obfuscation_clean_within_year_num,year_num,,2023.0,,,
obfuscation_clean,no,yes,0.675,0.6958333333333333,67.5,69.58333333333333,-0.02083333333333326,-2.083333333333326,2.083333333333326,-2.9940119760478936,,obfuscation_clean_within_year_num,year_num,,2025.0,,,
obfuscation_clean,no,yes,0.7745098039215687,0.875,77.45098039215686,87.5,-0.10049019607843135,-10.049019607843135,10.049019607843135,-11.484593837535012,,obfuscation_clean_within_dataset_clean,dataset_clean,,,nazario,,
obfuscation_clean,no,yes,0.6829710144927537,0.730072463768116,68.29710144927536,73.0072463768116,-0.047101449275362306,-4.710144927536231,4.710144927536231,-6.451612903225804,,obfuscation_clean_within_dataset_clean,dataset_clean,,,spam_archive,,
